************************
This report is for informational purposes only and should not be used to make medical decisions.
The author of the software that generated this report assumes no responsibility or liability.
************************
Normal range is 80 to 180
start time	end time	label	averge	readings in average/total	low/total	in range/total	high/total	% low	% in range	% high
ALL	ALL	IN_RANGE	173	9283/15837	402/15837	9283/15837	6152/15837	2	58	38
12:00 am	12:15 am	IN_RANGE	155	117/176	7/176	117/176	52/176	3	66	29
12:15 am	12:30 am	IN_RANGE	152	118/175	5/175	118/175	52/175	2	67	29
12:30 am	12:45 am	IN_RANGE	154	123/174	2/174	123/174	49/174	1	70	28
12:45 am	1:00 am	IN_RANGE	153	132/177	3/177	132/177	42/177	1	74	23
1:00 am	1:15 am	IN_RANGE	154	133/179	3/179	133/179	43/179	1	74	24
1:15 am	1:30 am	IN_RANGE	153	130/182	3/182	130/182	49/182	1	71	26
1:30 am	1:45 am	IN_RANGE	153	131/181	4/181	131/181	46/181	2	72	25
1:45 am	2:00 am	IN_RANGE	153	133/182	6/182	133/182	43/182	3	73	23
2:00 am	2:15 am	IN_RANGE	155	124/185	5/185	124/185	56/185	2	67	30
2:15 am	2:30 am	IN_RANGE	158	122/183	2/183	122/183	59/183	1	66	32
2:30 am	2:45 am	IN_RANGE	160	126/187	3/187	126/187	58/187	1	67	31
2:45 am	3:00 am	IN_RANGE	160	128/188	2/188	128/188	58/188	1	68	30
3:00 am	3:15 am	IN_RANGE	160	134/182	1/182	134/182	47/182	0	73	25
3:15 am	3:30 am	IN_RANGE	161	132/182	2/182	132/182	48/182	1	72	26
3:30 am	3:45 am	IN_RANGE	163	120/181	3/181	120/181	58/181	1	66	32
3:45 am	4:00 am	IN_RANGE	160	110/185	11/185	110/185	64/185	5	59	34
4:00 am	4:15 am	IN_RANGE	157	108/186	12/186	108/186	66/186	6	58	35
4:15 am	4:30 am	IN_RANGE	158	108/182	7/182	108/182	67/182	3	59	36
4:30 am	4:45 am	IN_RANGE	156	112/178	7/178	112/178	59/178	3	62	33
4:45 am	5:00 am	IN_RANGE	157	124/180	7/180	124/180	49/180	3	68	27
5:00 am	5:15 am	IN_RANGE	157	128/178	6/178	128/178	44/178	3	71	24
5:15 am	5:30 am	IN_RANGE	153	135/177	5/177	135/177	37/177	2	76	20
5:30 am	5:45 am	IN_RANGE	151	135/176	4/176	135/176	37/176	2	76	21
5:45 am	6:00 am	IN_RANGE	149	139/176	2/176	139/176	35/176	1	78	19
6:00 am	6:15 am	IN_RANGE	146	142/180	3/180	142/180	35/180	1	78	19
6:15 am	6:30 am	IN_RANGE	147	144/182	1/182	144/182	37/182	0	79	20
6:30 am	6:45 am	IN_RANGE	146	145/181	2/181	145/181	34/181	1	80	18
6:45 am	7:00 am	IN_RANGE	145	145/180	2/180	145/180	33/180	1	80	18
7:00 am	7:15 am	IN_RANGE	142	142/174	4/174	142/174	28/174	2	81	16
7:15 am	7:30 am	IN_RANGE	141	141/174	6/174	141/174	27/174	3	81	15
7:30 am	7:45 am	IN_RANGE	142	149/177	1/177	149/177	27/177	0	84	15
7:45 am	8:00 am	IN_RANGE	142	151/177	0/177	151/177	26/177	0	85	14
8:00 am	8:15 am	IN_RANGE	147	141/177	0/177	141/177	36/177	0	79	20
8:15 am	8:30 am	IN_RANGE	149	128/173	4/173	128/173	41/173	2	73	23
8:30 am	8:45 am	IN_RANGE	161	102/162	10/162	102/162	50/162	6	62	30
8:45 am	9:00 am	IN_RANGE	169	93/160	8/160	93/160	59/160	5	58	36
9:00 am	9:15 am	IN_RANGE	180	73/156	7/156	73/156	76/156	4	46	48
9:15 am	9:30 am	HIGH	181	77/158	4/158	77/158	77/158	2	48	48
9:30 am	9:45 am	HIGH	186	74/154	1/154	79/154	74/154	0	51	48
9:45 am	10:00 am	HIGH	189	74/147	3/147	70/147	74/147	2	47	50
10:00 am	10:15 am	HIGH	187	70/141	3/141	68/141	70/141	2	48	49
10:15 am	10:30 am	HIGH	190	81/152	2/152	69/152	81/152	1	45	53
10:30 am	10:45 am	HIGH	189	81/152	4/152	67/152	81/152	2	44	53
10:45 am	11:00 am	HIGH	185	80/159	1/159	78/159	80/159	0	49	50
11:00 am	11:15 am	HIGH	189	72/147	1/147	74/147	72/147	0	50	48
11:15 am	11:30 am	HIGH	191	69/150	0/150	81/150	69/150	0	54	46
11:30 am	11:45 am	HIGH	197	79/157	4/157	74/157	79/157	2	47	50
11:45 am	12:00 pm	HIGH	209	90/148	1/148	57/148	90/148	0	38	60
12:00 pm	12:15 pm	HIGH	219	97/151	1/151	53/151	97/151	0	35	64
12:15 pm	12:30 pm	HIGH	220	108/163	2/163	53/163	108/163	1	32	66
12:30 pm	12:45 pm	HIGH	217	104/160	4/160	52/160	104/160	2	32	65
12:45 pm	1:00 pm	HIGH	214	99/154	2/154	53/154	99/154	1	34	64
1:00 pm	1:15 pm	HIGH	209	96/155	3/155	56/155	96/155	1	36	61
1:15 pm	1:30 pm	HIGH	205	107/157	4/157	46/157	107/157	2	29	68
1:30 pm	1:45 pm	HIGH	202	95/155	6/155	54/155	95/155	3	34	61
1:45 pm	2:00 pm	HIGH	200	92/158	5/158	61/158	92/158	3	38	58
2:00 pm	2:15 pm	HIGH	195	93/155	8/155	54/155	93/155	5	34	60
2:15 pm	2:30 pm	HIGH	185	83/164	10/164	71/164	83/164	6	43	50
2:30 pm	2:45 pm	HIGH	187	74/150	3/150	73/150	74/150	2	48	49
2:45 pm	3:00 pm	IN_RANGE	180	74/147	6/147	74/147	67/147	4	50	45
3:00 pm	3:15 pm	HIGH	185	72/151	11/151	68/151	72/151	7	45	47
3:15 pm	3:30 pm	HIGH	191	78/151	3/151	70/151	78/151	1	46	51
3:30 pm	3:45 pm	HIGH	187	74/154	4/154	76/154	74/154	2	49	48
3:45 pm	4:00 pm	HIGH	192	73/141	2/141	66/141	73/141	1	46	51
4:00 pm	4:15 pm	HIGH	190	79/151	0/151	72/151	79/151	0	47	52
4:15 pm	4:30 pm	HIGH	190	75/146	6/146	65/146	75/146	4	44	51
4:30 pm	4:45 pm	HIGH	189	77/145	4/145	64/145	77/145	2	44	53
4:45 pm	5:00 pm	HIGH	188	78/150	3/150	69/150	78/150	2	46	52
5:00 pm	5:15 pm	HIGH	190	75/147	4/147	68/147	75/147	2	46	51
5:15 pm	5:30 pm	HIGH	194	75/135	4/135	56/135	75/135	2	41	55
5:30 pm	5:45 pm	HIGH	193	75/135	5/135	55/135	75/135	3	40	55
5:45 pm	6:00 pm	HIGH	193	74/150	5/150	71/150	74/150	3	47	49
6:00 pm	6:15 pm	HIGH	192	62/144	2/144	80/144	62/144	1	55	43
6:15 pm	6:30 pm	HIGH	186	59/146	3/146	84/146	59/146	2	57	40
